sampled_at,year,month,day,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,,,,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,one_percent_weightloss_sd,five_percent_weightloss,five_percent_weightloss_sd,ten_percent_weightloss,ten_percent_weightloss_sd,crystallinity,crystallinity_sd,birefringence,birefringence_sd,diameter,diameter_sd,water_content_sd,water_content,supercontraction_sd,supercontraction
42816,2017,3,22,Japan,3,0.153,0.067,2.38,0.7,1.25,0.24,29.2,6,,,,5,60.2,10.3,0.6,0.04,,,,,Jan,1,,,,,,,,,,,,,,,,,,,,,,,,
42814,2017,3,20,Japan,5,0.111,0.014,2.34,0.78,0.92,0.07,29.8,4.6,191,219,246,17,62.1,31.7,0.57,0.1,9.4,,,,Feb,2,,,,,,,,,,,,,,,,,,,,,,,,
42814,2017,3,20,Japan,5,0.1,0.02,6.5,2.15,1.23,0.1,17,4.1,,,,,73.8,21.1,0.48,0.04,,,,,Mar,3,0.081857143,0.040828661,3.28,1.521474848,0.928571429,0.300828787,20.47142857,6.43466378,191,66.83607727,219,76.63403624,246,86.0820681,11,5.914354727,58.74285714,9.470232633,0.577142857,0.107532624,9.4,3.289314797,,
42815,2017,3,21,Japan,3,0.084,0.033,2.16,1.06,1.21,0.35,23.3,3.7,,,,,49.2,9.4,0.44,0.02,,,,,Apr,4,0.080846154,0.047029731,7.382307692,4.149536842,0.833076923,0.323567613,18.36153846,8.622441005,231.25,102.6558436,277.75,123.0043179,298,131.8837198,13,7.169069365,43.84,15.7859769,1.107333333,0.780619128,4.875,2.382715538,30.35,12.46343274
42815,2017,3,21,Japan,7,0.061,0.019,4.5,0.99,0.85,0.04,16.4,6.1,,,,,60.5,13,0.8,0.04,,,,,May,5,0.138945946,0.078330618,10.85756757,7.162149221,1.232432432,0.66754193,20.47837838,7.587403485,229.6153846,109.2075996,276.3846154,130.634385,299.6923077,141.3649206,14.8,9.251117174,46.26153846,14.46413097,1.507435897,1.446056916,8.876923077,4.674136034,26.5,10.16599377
42815,2017,3,21,Japan,4,0.035,0.012,2.93,1.52,0.62,0.24,14.5,1.9,,,,,42.2,8.6,0.54,0.03,,,,,June,6,0.095642857,0.042206582,8.048571429,3.372781641,0.962142857,0.375236814,18.01428571,6.042059987,219.75,97.41444109,273.25,120.9114644,294.25,130.1331967,19.6,11.89098632,41.77333333,9.520466842,1.518,0.989937372,3.125,1.437435989,34.6,13.87420628
42814,2017,3,20,Japan,8,0.029,0.011,2.15,0.73,0.42,0.06,13.1,4.6,,,,,63.2,15.9,0.61,0.06,,,,,July,7,0.109785714,0.062250844,8.659642857,4.522702658,1.225357143,0.69700922,19.07142857,8.691522297,218.7647059,109.8965742,273.1764706,136.4240115,294.7058824,146.8913747,18.38888889,10.01414193,43.63333333,13.60493193,1.299333333,1.027496072,6.411764706,3.723603594,8.4,1.484151446
42474,2016,4,14,Japan,8,0.137,0.064,7.88,1.53,0.97,0.15,23.4,8.3,224,278,296,19,33,1.9,2.16,0.04,8.1,49.5,3.1,,Aug,8,0.095157895,0.062041879,10.42578947,6.568508677,1.153684211,0.703305455,17.37368421,9.935131761,226.4444444,111.0936695,279.4444444,136.7522701,299.5555556,146.3465086,18.83333333,9.994138169,47.19545455,17.73281964,1.502727273,1.630455304,7.966666667,4.158976899,44.675,17.19573847
42475,2016,4,15,Japan,,0.132,0.011,10.7,3.5,1.08,0.12,20,1.5,,,,,52.2,15.6,0.82,0.05,,,,,Sep,9,0.111914286,0.061918556,8.273428571,4.351399448,1.058857143,0.540475142,20.45428571,9.039890496,218.75,110.096909,270.35,135.5010208,293.75,146.9558084,21.88888889,11.30190219,44.80857143,19.35377482,1.338571429,0.938555634,6.49,3.804621846,22.55294118,14.49484778
42475,2016,4,15,Japan,,0.126,0.068,8.43,4.08,0.91,0.34,21.7,8.1,,,,11,37.7,9.6,0.93,0.12,,,,,Oct,10,0.131782609,0.08420578,9.458478261,6.107636749,1.102173913,0.651329431,22.69347826,13.04848283,221.4347826,106.3353163,274.3913043,131.2331681,299.826087,143.2078636,19.4,9.6177159,46.7962963,21.77678438,1.236666667,0.784130302,5.695652174,3.131619894,28.47333333,14.22314338
42474,2016,4,14,Japan,3,0.126,0.03,7.89,2.21,0.74,0.17,26.7,5,223,275,296,13,25,6.1,2.43,0.11,3.5,,,,Nov,11,0.0885,0.057622328,6.977222222,4.680179965,0.926111111,0.501633077,18.05555556,8.868595349,211.75,102.9920562,258.375,125.739441,287.5,139.0244345,18.86666667,9.289757089,48.36,19.94452637,1.196,1.008893101,8.033333333,4.156693298,30.28,14.2892724
42475,2016,4,15,Japan,,0.124,0.022,8.39,1.05,1.07,0.15,23.1,2.8,,,,9,47,16.1,0.71,0.12,,,,,Dec,12,0.16,0.083932184,7.952,3.904557837,1.341,0.589382644,25.18,11.14160545,231.5,112.1961093,278,133.8523301,298.25,143.5291314,28.6,15.17773489,45.45,17.64636549,1.519,1.355651166,7.9,4.07522245,23.06666667,13.55054206
42475,2016,4,15,Japan,10,0.074,0.04,7.1,2.82,0.81,0.29,17,3.2,261,297,314,20,42.1,4.1,3.19,0.19,4.8,11.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
42475,2016,4,15,Japan,,0.069,0.033,6.48,2.42,0.84,0.33,17.1,2.9,,,,,34.5,12.9,1.11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42835,2017,4,10,Japan,2,0.067,0.016,1.65,0.55,0.71,0.2,25.6,5.1,,,,,71,14.4,0.65,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
